playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
827,Eric Hipwood,5,1,6,3,1,1,3,0,0,1,0,1,0,1,1,43,55,19
828,Noah Answerth↙,3,2,5,0,0,0,2,0,0,1,0,1,0,1,0,22,30,19
829,Jordan De Goey,23,12,35,6,0,3,2,0,2,8,9,6,0,1,1,120,122,20
830,Nick Daicos,16,17,33,5,0,0,1,0,0,2,2,3,4,2,1,100,109,20
831,Tom Mitchell,12,18,30,3,0,0,5,0,0,4,5,1,0,2,0,103,109,20
832,Josh Daicos,19,9,28,3,1,0,1,0,0,4,7,2,5,0,1,91,117,20
833,Jack Crisp,14,11,25,3,0,0,2,0,1,4,1,5,0,1,2,76,81,20
834,Scott Pendlebury,9,15,24,0,1,0,3,0,2,6,4,2,0,0,1,72,102,20
835,Steele Sidebottom,15,9,24,3,0,0,2,0,0,4,4,1,2,0,0,80,114,20
836,Brayden Maynard,14,7,21,1,0,0,5,0,0,2,0,7,5,1,3,71,84,20
837,Taylor Adams,10,10,20,3,0,0,1,0,0,5,0,7,0,2,2,59,32,20
838,Jamie Elliott,9,8,17,3,2,1,4,0,0,1,0,2,0,2,1,80,101,20
839,Daniel McStay,11,5,16,5,1,2,3,4,0,2,1,5,1,1,2,77,71,20
840,Isaac Quaynor,7,9,16,5,0,0,1,0,0,3,1,2,2,0,0,58,58,20
841,John Noble,10,6,16,3,0,0,1,0,0,0,0,3,2,0,0,55,51,20
842,Ash Johnson,9,6,15,3,1,3,2,3,2,1,0,5,0,1,3,60,80,20
843,Billy Frampton,8,5,13,6,0,0,2,0,0,2,0,3,5,0,1,57,78,20
844,Beau McCreery,8,5,13,2,0,0,7,0,0,4,0,3,1,1,2,63,65,20
845,Brody Mihocek,9,2,11,4,1,0,7,0,0,2,0,3,0,1,1,75,76,20
846,Darcy Cameron↗,5,5,10,1,0,0,2,24,0,1,2,6,1,1,3,52,89,20
